question,answer
XDR是什么？,XDR是Extended Detection and Response的缩写，旨在整合和分析来自多个数据源的安全事件，以提供更全面的威胁检测、响应和预防。与传统的SIEM（安全信息和事件管理）不同，XDR不仅仅是将异构的安全告警数据进行数据接入、数据标准化处理后，通过一系列的存储分析后和一些流程工单、通报预警、OA系统、绩效评估、处置响应、SOAR系统进行了打通，而是具备深度的分析关联能力，可以进行深度关联和狩猎。目前国内的主要XDR厂商是深信服，而国外的主要玩家有Palo Alto Networks、CrowdStrike、Microsoft等。
当前安全行业的痛点有哪些？,"安全行业的痛点：
网络安全事件层出不穷，网络安全形势也愈来愈复杂和严峻。在黑色产业链的利益驱使下，黑客的手段越来越成熟，各种基于社会工程学、0day漏洞和绕过攻击等新型手段发起的攻击不断出现，网络安全问题呈现出多元化的发展趋势。面对网络安全问题的快速变化，传统的安全解决方案发展却过于缓慢。目前主流的应对方案依然是基于大量安全产品的简单组合，存在较多的不足。
首先，在安全设备检测方面：
1） 安全设备孤岛式分布，无法真正协同工作
	一次安全事件会同时在多个点留下痕迹，但安全设备彼此是独立的，尽管这些单独的安全设备能够提供自身负责范围的日志和告警，但它们并没有将整个攻击面的点连接起来，无法真正协同工作。现有的安全运营能力都是基于安全分析师的人工关联，但是告警来自多源异构数据，大多是碎片化的，非常难以整合，同时告警研判过程中存在重复低效的二次取证工作，安全分析师需要在不同安全设备间反复切换，不完备的资产实体库同样也为研判带来了阻塞，最后，这些汇总整合研判的工作都由安全分析师来完成，而企业人员的精力和能力常常成为了最难以逾越的鸿沟。
2） 主要基于规则识别，未知威胁难以应对
	传统的安全设备往往只能通过规则匹配机制发现已知威胁，对未知攻击没有有效的检测手段。越来越多的攻击对抗技术、APT攻击，出现了很多绕过单一安全防护设备的规则的手法，而设备厂商往往对于绕过手法后知后觉，处于一种“被动挨打”的不利地位。甚至出现了某些针对架构或基本能力的绕过手法，安全设备厂商从感知到改进修复，到下发到用户，是需要一个很长的周期的，这极大的挑战了单一安全设备的防护能力。
	其次，在安全运营人员响应方面：
3） 安全事件处置碎片化，难以打破产品边界
	传统的安全事件响应处置只关注单品的响应能力，未做到网端协同响应，这也是由告警数据太多、不够精准导致的，最终处置往往是“一刀切”，直接对危险资产实体进行断网或重装的办法。在没有威胁精准定位支撑的情况下，这种粗暴的办法似乎也难以替代，但当安全事件数量超过人工手动处理能力的时候，当危险资产涉及企业核心资产的时候，这种粗暴办法的缺点便暴露无遗，面对这些情况企业往往是非常棘手的。
4） 安全运营效率低下，运营人员疲于应付重复、单一的工作
	企业购买大量异构安全设备，分散在各处，产生大量日志，给日志分析和事件处理带来困难。运维人员被大量零散的信息淹没，无法做出宏观判断和有效决策，在多个设备间反复切换，导致效率低下，无法充分发挥每个设备最佳的能力。"
什么是NDR？,NDR是网络检测与响应（Network Detection and Response）的缩写，是一种网络安全技术，主要用于检测和响应网络中的威胁和攻击。NDR技术通过对网络流量、网络行为和终端设备等进行实时监控和分析，可以快速发现网络中的异常行为和威胁，并提供相应的响应措施。与传统的IDS/IPS等安全设备相比，NDR技术更加注重对网络中的威胁进行全面的检测和响应，可以更好地保护企业的网络安全。
NDR的优缺点有哪些？,"优点：
基于网络流量实时监测与内置的丰富规则模型，可获取大部分攻击的线索，对威胁检测范围涵盖较广
缺点：
（1）产出大量的灰度告警，对运营人员要求高，难定位处理问题，海量告警难削减、误报频出、无法定位高价值告警；
（2）基于网络侧流量检测效果有瓶颈，数据来源单一，难以应对复杂性攻击。
（3）安全可视化做的较差"
什么是SIEM？,SIEM是安全信息与事件管理（Security Information and Event Management）的缩写，是一种安全技术，主要用于将来自不同安全设备的日志数据进行集中管理、分析和报告，以便于检测和响应安全事件，可基于数据挖掘技术实现对日志/告警字段的强关联。SIEM技术可以帮助企业实现对安全事件的实时监控、威胁检测、事件响应和合规性审计等功能。
SIEM的优缺点有哪些？,"优势：
比较符合技术性客户使用习惯，功能更为细致丰富，自定义建模最够灵活，定制化程度高
劣势：
针对于威胁检测响应能力的实现需要依赖规则建模，而这点奠定在专家知识积累之上，而基于经验的规则建模，难以实现高级威胁、未知威胁的检出；缺少对安全数据的深入理解，难以有效利用数据的高价值；缺少自动化调查、响应能力；平台架构的设计问题导致威胁检测效率较低、无模型自动快速迭代的能力。"
XDR的优缺点有哪些？,"优点：
统一威胁检测响应的平台，解决碎片化问题，方便管理和操作；
可以进行深度关联和狩猎，提供更准确的安全态势和告警消减；
提供进程链举证功能，清晰展现端点上具体到进程、文件、网络等类型的行为；
易于客户更好理解安全事件属性，提供威胁检测能力，可以大幅提升第三方数据的分析效果。
缺点：
1、原生组件要求高，NDR/EDR得是一体化的
2、对于业务建模能力较差"
安全行业目前有什么国家政策？,"网络安全是一个事关国家安全的重大战略性问题，党的十八大以来，党中央、国务院高度重视网络安全工作，在2018年召开的全国网络安全和信息化工作会议上，习近平总书记站在战略和全局高度，就网络安全工作发表了一系列重要讲话，强调了要树立正确的网络安全观，加强信息基础设施网络安全防护，加强网络安全信息统筹机制、手段、平台建设，加强网络安全事件应急指挥能力建设，积极发展网络安全产业，做到关口前移，防患于未然。为网络安全工作指明了方向。在2021年，我国先后制定颁布了多项政策法规用于规范企业网络安全建设，其中包括《网络产品安全漏洞管理规定》、《关键信息基础设施安全保护条例》等等，从多个维度制定网络产品规范，明确基础设施安全保障要求，为国家和企业信息安全建设提供了规范和指引。
习近平总书记在网安和信息化会议上指出，网络安全的本质在对抗，对抗的本质在攻防两端能力较量。要落实网络安全责任制，制定网络安全标准，明确保护对象、保护层级、保护措施。要下定决心、保持恒心、找准重心，加速推动信息领域核心技术突破。要抓产业体系建设，在技术、产业、政策上共同发力。要遵循技术发展规律，做好体系化技术布局，优中选优、重点突破。
从党和国家对于网络空间安全的重视，可以看到面对日新月异的攻防对抗技术更新换代，网络安全面对着攻击者的不断挑战，和防御技术不断落后的风险。同时根据习近平总书记“遵循技术规律，做好体系化技术布局”的指导意见，紧跟技术前沿，拥有全局化、体系化的安全视角，对掌握现今复杂的安全态势、接住来自攻击者不断更新的技术挑战，显得尤为重要。在这种政策指引的背景下，一个拥有统一构建平台、威胁对抗检测、响应处置一体能力的产品亟待出现。"
安全行业的态势如何？,"互联网技术的飞速发展使得互联网承载的价值越来越多、网络的规模和复杂度越来越大，因此，黑客有了越来越多的动机和手段来窃取企业的机密信息和资源，甚至是对企业资产造成破坏。
1）网络安全威胁不断升级，网络空间对抗态势进一步加剧
根据《深信服2021年网络安全状况特点研判报告》的统计数据中提到，恶意软件团伙更加专注于提高收益，不同类型团伙间合作更加紧密，挖矿类恶意软件占比达到51%，相较于去年的31%大幅提升，勒索软件的拦截量虽然占比较低，但一旦主机及服务器被攻陷，所造成的危害极大；0day漏洞利用情况愈发严重，全年利用频次环比增长161%；APT组织攻击技术持续创新，多次攻击安全研究者窃取研究成果以储备武器库，攻击目标开始转向软件供应链服务商；国内数据泄露事件频发，黑客利用供应链攻击造成我国大规模数据泄露。综合整个2021年网络安全状况可以得出：网络空间对抗态势进一步加剧。
2）国家重视监测预警和信息通报，合规监管趋于严格
	从合规合法角度看，2017年6月1日，《中华人民共和国网络安全法》正式施行，其中第五十一条，国家建立网络安全监测预警和信息通报制度。国家网信部门应当统筹协调有关部门加强网络安全信息收集、分析和通报工作，按照规定统一发布网络安全监测预警信息；第五十二条，负责关键信息基础设施安全保护工作的部门，应当建立健全本行业、本领域的网络安全监测预警与信息通报制度，并按照规定报送网络安全预警信息。
	并且，等级保护2.0相关政策条例的修订与出台、也提出了一些新的安全要求，企业和组织应依据国家网络安全等级保护政策和标准，开展组织管理、机制建设、安全规划、通报预警、应急处置、态势感知、能力建设、监督检查、技术检测、队伍建设、教育培训和经费保障等工作。
	3）攻防技术不对等，安全运营能力缺乏时效性
美国最大通信厂商Verizon对企业安全事件进行了调查和统计，得出的结论是：不计算前期侦察与信息获取的过程，攻击者从实施攻击到入侵得手仅需花费数小时的时间，相比之下，62%以上的企业需要花上数周甚至超过一个月的时间才能发现黑客攻击，随后还需要数天至数周的时间完成响应和补救工作；在另外一项统计调查中，研究机构Ponemon Institute从全球252个机构的1928起攻击事件的中发现，攻击事件的平均解决时间为46天，而每延迟发现和解决攻击事件一天，企业就会损失21155美元。
4）护网行动规模扩大，攻防演习常态化
2016年，公安部会同民航局、国家电网，组织了“护网2016”https://md5.com/活动。同年，《网络安全法》出台，颁布了网络安全演练的相关规定：关键信息基础设施运营者应当“制定网络安全事件应急预案，定期进行演练”。
2016年仅公安部、民航局、国家电网三个事业单位参与“护网2016”行动。2017年部分政府部门加入“护网2017”行动，组织演练模拟门户网站、重要信息系统遭受攻击破坏等真实场景。2018年部分国有企事业单位及其它重点单位加入“护网2018”行动，组织演练模拟对相关网站和信息系统展开攻击。2019年涉及范围更广，工信、安全、武警、交通、铁路、民航、能源、新闻广电、电信运营商等单位都加入到“护网2019”行动中，充分彰显国家对网络安全的重视，后续几年又有公有云、物联网的加入，整个护网行动呈现常态化、覆盖化的态势。网络安全对抗演练越来越贴近实际情况，各机构对待网络安全需求也从被动构建，升级为业务保障刚需。
由此可见，在网络复杂性极大、网络弱点极多的今天，威胁对抗态势不断加剧，国家重视程度也空前提高，企业想利用单一安全设备阻止攻击者进入内网是难以做到的，并且0day和APT攻击等等更高级的攻击技术的增多、传统的安全验证体系不完善，也导致安全运营能力成为难题。"
XDR的基本特征是什么？,"1、XDR的最佳效果是基于云原生的
XDR的检测能力需要较全面地覆盖已知黑客攻击技战术，同时需要针对新出现的攻击技战术快速开发对应的检测模型&算法，以及相关的调查、响应、狩猎功能。因此当前较完善的XDR产品均是基于云原生SaaS化提供的，可以基于集中的专家、算力和遥测数据和情报资源，更快、更好地快速迭代产品，可以认为云原生是XDR 快速发展的必要条件。即使一个本地化部署的XDR平台，也需要基于云端的持续运营来提供快速的更新。通过云原生提升安全对抗效率，一个典型的案例就是在2021年Log4j2 漏洞爆发时，CrowdStrike基于其云原生架构，在漏洞披露24小时内就提供了检测、处置和修复的完整能力，并且在数天内提供了专项的漏洞数据统计监控，这种速度对于单纯依赖本地化平台的产品是难以想象的。在用户不同需求场景中，本地化XDR也有其存在的必要性，不能完全被SaaS化所取代，但想要达到XDR最佳效果，充分发挥其价值，基于云原生的XDR是最佳实践。
2、XDR覆盖检测和响应
XDR顾名思义包括检测和响应能力，需要集成全面、完善的检测技术在行业内没有争议，但在响应技术上还有不同的认识。全面、完善的检测技术，即需要包括：
（1）传统的特征检测（恶意代码特征、漏洞特征、IOC失陷指标）；
（2）启发式检测（对抗混淆、加壳恶意代码的一种检测方式，关注代码运行过程中的恶意行为检测）；
（3）基于行为的检测（IOA攻击信标）；
（4）各种威胁狩猎能力，包括被动、主动和自动化不同的方式。"
