question,origin_answer,polish_answer
什么是SIEM？,SIEM是安全信息与事件管理（Security Information and Event Management）的缩写，是一种安全技术，主要用于将来自不同安全设备的日志数据进行集中管理、分析和报告，以便于检测和响应安全事件，可基于数据挖掘技术实现对日志/告警字段的强关联。SIEM技术可以帮助企业实现对安全事件的实时监控、威胁检测、事件响应和合规性审计等功能。,SIEM是安全信息与事件管理（Security Information and Event Management）的缩写，是一种安全技术。它的主要作用是将来自不同安全设备的日志数据进行集中管理、分析和报告。通过数据挖掘技术，SIEM可以实现对日志/告警字段的强关联。SIEM技术可以帮助企业实现对安全事件的实时监控、威胁检测、事件响应和合规性审计等功能。
XDR是什么？,XDR是Extended Detection and Response的缩写，旨在整合和分析来自多个数据源的安全事件，以提供更全面的威胁检测、响应和预防。与传统的SIEM（安全信息和事件管理）不同，XDR不仅仅是将异构的安全告警数据进行数据接入、数据标准化处理后，通过一系列的存储分析后和一些流程工单、通报预警、OA系统、绩效评估、处置响应、SOAR系统进行了打通，而是具备深度的分析关联能力，可以进行深度关联和狩猎。目前国内的主要XDR厂商是深信服，而国外的主要玩家有Palo Alto Networks、CrowdStrike、Microsoft等。,XDR是Extended Detection and Response的缩写，旨在整合和分析来自多个数据源的安全事件，以提供更全面的威胁检测、响应和预防。与传统的SIEM（安全信息和事件管理）不同，XDR不仅仅是将异构的安全告警数据进行数据接入、数据标准化处理后，通过一系列的存储分析后和一些流程工单、通报预警、OA系统、绩效评估、处置响应、SOAR系统进行了打通，而是具备深度的分析关联能力，可以进行深度关联和狩猎。目前国内的主要XDR厂商是深信服，而国外的主要玩家有Palo Alto Networks、CrowdStrike、Microsoft等。
NDR的优缺点有哪些？,"优点：
基于网络流量实时监测与内置的丰富规则模型，可获取大部分攻击的线索，对威胁检测范围涵盖较广
缺点：
（1）产出大量的灰度告警，对运营人员要求高，难定位处理问题，海量告警难削减、误报频出、无法定位高价值告警；
（2）基于网络侧流量检测效果有瓶颈，数据来源单一，难以应对复杂性攻击。
（3）安全可视化做的较差","NDR的优点包括：基于网络流量实时监测和内置的丰富规则模型，可以获取大部分攻击的线索，对于威胁检测范围涵盖较广。 

然而，NDR也存在一些缺点： 
1. 产出大量的灰度告警，对运营人员要求较高，难以准确定位和处理问题，海量告警难以削减，误报频繁发生，无法定位高价值告警； 
2. 基于网络侧流量检测存在一定的效果瓶颈，数据来源单一，难以应对复杂攻击； 
3. 安全可视化方面表现较差。"
SIEM的优缺点有哪些？,"优势：
比较符合技术性客户使用习惯，功能更为细致丰富，自定义建模最够灵活，定制化程度高
劣势：
针对于威胁检测响应能力的实现需要依赖规则建模，而这点奠定在专家知识积累之上，而基于经验的规则建模，难以实现高级威胁、未知威胁的检出；缺少对安全数据的深入理解，难以有效利用数据的高价值；缺少自动化调查、响应能力；平台架构的设计问题导致威胁检测效率较低、无模型自动快速迭代的能力。",SIEM的优势在于它更符合技术性客户的使用习惯，功能更为丰富和细致，自定义建模的灵活性也更高。然而，它的劣势在于威胁检测响应能力的实现需要依赖规则建模，而这点是建立在专家知识积累之上的。基于经验的规则建模难以实现对高级威胁和未知威胁的检出。此外，SIEM还缺乏对安全数据的深入理解，难以充分利用数据的高价值。它也缺乏自动化调查和响应能力，同时平台架构的设计问题导致威胁检测效率较低，无法实现模型自动快速迭代的能力。
XDR的优缺点有哪些？,"优点：
统一威胁检测响应的平台，解决碎片化问题，方便管理和操作；
可以进行深度关联和狩猎，提供更准确的安全态势和告警消减；
提供进程链举证功能，清晰展现端点上具体到进程、文件、网络等类型的行为；
易于客户更好理解安全事件属性，提供威胁检测能力，可以大幅提升第三方数据的分析效果。
缺点：
1、原生组件要求高，NDR/EDR得是一体化的
2、对于业务建模能力较差","XDR的优点有：
- 提供统一威胁检测响应的平台，解决了碎片化问题，方便管理和操作；
- 能够进行深度关联和狩猎，提供更准确的安全态势和告警消减；
- 提供进程链举证功能，清晰展现了端点上具体到进程、文件、网络等类型的行为；
- 易于客户更好理解安全事件属性，提供威胁检测能力，可以大幅提升第三方数据的分析效果。

XDR的缺点有：
1. 对原生组件的要求较高，需要NDR/EDR是一体化的；
2. 在业务建模能力方面相对较差。"
什么是NDR？,NDR是网络检测与响应（Network Detection and Response）的缩写，是一种网络安全技术，主要用于检测和响应网络中的威胁和攻击。NDR技术通过对网络流量、网络行为和终端设备等进行实时监控和分析，可以快速发现网络中的异常行为和威胁，并提供相应的响应措施。与传统的IDS/IPS等安全设备相比，NDR技术更加注重对网络中的威胁进行全面的检测和响应，可以更好地保护企业的网络安全。,NDR是网络检测与响应（Network Detection and Response）的缩写，它是一种用于检测和响应网络中的威胁和攻击的网络安全技术。NDR技术通过实时监控和分析网络流量、网络行为和终端设备等，可以快速发现网络中的异常行为和威胁，并提供相应的响应措施。相比传统的IDS/IPS等安全设备，NDR技术更加注重全面检测和响应网络中的威胁，从而更好地保护企业的网络安全。这种技术的应用可以帮助企业及时发现和应对网络攻击，提高网络安全防御的效果。
XDR产品定位是什么？,深信服XDR是一种安全威胁检测和事件响应平台，通过原生的流量采集工具与端点采集工具收集关键数据，通过网端聚合分析引擎对数据进行上下文关联分析，实现攻击链深度溯源，结合托管检测与响应服务MDR，释放人员精力；同时具备可扩展的接口开放性，协同SOAR等产品，化繁为简，带来深度检测、精准响应、持续生长的安全效果体验。,深信服XDR是一种安全威胁检测和事件响应平台。它通过原生的流量采集工具与端点采集工具来收集关键数据，然后通过网端聚合分析引擎对数据进行上下文关联分析，从而实现攻击链深度溯源。同时，XDR结合托管检测与响应服务MDR，可以释放人员精力。此外，XDR还具备可扩展的接口开放性，可以与其他产品如SOAR协同工作，将繁琐的工作化简，带来深度检测、精准响应和持续增长的安全效果体验。
XDR的组成有哪些部分？,"深信服XDR平台采用“平台+组件+服务”的方式，平台支持SaaS化和分布式本地版化两种部署方式，组件包括：
- 网络流量采集工具：下一代防火墙AF/威胁检测探针STA/SIP一体机/态势感知SIP/NDR	- 端点行为采集工具：EDR探针版/EDR全量版/CWPP	- 其他遥测点采集工具：容器数据采集工具、邮件数据采集工具……
- 可选响应组件：上网行为管理AC、AF、云镜……",深信服XDR平台采用“平台+组件+服务”的方式。平台支持SaaS化和分布式本地版化两种部署方式。其中，组件包括网络流量采集工具（如下一代防火墙AF、威胁检测探针STA、SIP一体机、态势感知SIP和NDR）、端点行为采集工具（如EDR探针版、EDR全量版和CWPP）以及其他遥测点采集工具（如容器数据采集工具和邮件数据采集工具）。此外，还有可选的响应组件，如上网行为管理AC、AF和云镜等。
XDR的基本特征是什么？,"1、XDR的最佳效果是基于云原生的
XDR的检测能力需要较全面地覆盖已知黑客攻击技战术，同时需要针对新出现的攻击技战术快速开发对应的检测模型&算法，以及相关的调查、响应、狩猎功能。因此当前较完善的XDR产品均是基于云原生SaaS化提供的，可以基于集中的专家、算力和遥测数据和情报资源，更快、更好地快速迭代产品，可以认为云原生是XDR 快速发展的必要条件。即使一个本地化部署的XDR平台，也需要基于云端的持续运营来提供快速的更新。通过云原生提升安全对抗效率，一个典型的案例就是在2021年Log4j2 漏洞爆发时，CrowdStrike基于其云原生架构，在漏洞披露24小时内就提供了检测、处置和修复的完整能力，并且在数天内提供了专项的漏洞数据统计监控，这种速度对于单纯依赖本地化平台的产品是难以想象的。在用户不同需求场景中，本地化XDR也有其存在的必要性，不能完全被SaaS化所取代，但想要达到XDR最佳效果，充分发挥其价值，基于云原生的XDR是最佳实践。
2、XDR覆盖检测和响应
XDR顾名思义包括检测和响应能力，需要集成全面、完善的检测技术在行业内没有争议，但在响应技术上还有不同的认识。全面、完善的检测技术，即需要包括：
（1）传统的特征检测（恶意代码特征、漏洞特征、IOC失陷指标）；
（2）启发式检测（对抗混淆、加壳恶意代码的一种检测方式，关注代码运行过程中的恶意行为检测）；
（3）基于行为的检测（IOA攻击信标）；
（4）各种威胁狩猎能力，包括被动、主动和自动化不同的方式。","1、XDR的基本特征是基于云原生的。XDR的检测能力需要覆盖已知黑客攻击技战术，并快速应对新出现的攻击技战术。因此，目前较完善的XDR产品都是基于云原生SaaS化提供的。通过云原生架构，XDR能够更快、更好地迭代产品，提供及时的更新和响应能力。即使是本地化部署的XDR平台，也需要基于云端来进行持续运营，以提供快速的更新。云原生架构在安全对抗中能够提高效率，例如CrowdStrike在Log4j2漏洞爆发时，基于其云原生架构，在漏洞披露24小时内就提供了完整的检测、处置和修复能力，并在数天内提供了专项的漏洞数据统计监控。基于云原生的XDR是实现最佳效果和发挥其价值的最佳实践。
2、XDR包括检测和响应能力。在检测技术方面，XDR需要集成全面、完善的技术。这包括传统的特征检测、启发式检测、基于行为的检测以及各种威胁狩猎能力。传统的特征检测主要关注恶意代码特征、漏洞特征和IOC失陷指标。启发式检测是一种对抗混淆、加壳恶意代码的方式，它通过关注代码运行过程中的恶意行为来进行检测。基于行为的检测则采用IOA攻击信标来进行检测。此外，XDR还需要具备各种威胁狩猎能力，包括被动、主动和自动化的方式。综上所述，XDR的检测和响应能力需要全面、完善的技术支持。"
XDR产品的架构是怎样的？,在过去几十年的时间里，软件架构和应用程序托管模型经历了多次重大转变，从中心化到去中心化，从虚拟机托管到云托管，再到微服务和容器技术。企业也在不断更新适合自己的架构模式和最佳实践。深信服XDR平台采用业界领先的Kubernetes容器编排技术+微服务架构，从数据采集到最终的安全可视呈现形成完整的层次结构。每一层具体的职责描述如下：,"在过去几十年的时间里，软件架构和应用程序托管模型经历了多次重大转变，从中心化到去中心化，从虚拟机托管到云托管，再到微服务和容器技术。企业也在不断更新适合自己的架构模式和最佳实践。

而深信服XDR平台采用了业界领先的Kubernetes容器编排技术+微服务架构，形成了一种完整的层次结构，实现从数据采集到最终的安全可视化呈现。具体来说，每一层的职责如下：

- 数据采集层：负责从各种数据源收集安全相关的数据，包括网络流量、日志、终端信息等。
- 数据存储层：将采集到的数据进行持久化存储，以便后续分析和查询。
- 数据处理层：对存储的数据进行处理和分析，通过各种算法和模型识别潜在的威胁和异常行为。
- 威胁情报层：与外部威胁情报源进行对接，获取最新的威胁情报数据，以增强分析的准确性和及时性。
- 可视化展示层：将处理后的数据进行可视化展示，提供直观、易懂的安全态势和分析结果。

深信服XDR平台的架构设计旨在提供高效、可扩展和易用的安全解决方案，帮助企业实现对复杂威胁的监测、响应和预防。"
