question,answer,sentence,rewrite
永恒之蓝漏洞,"永恒之蓝漏洞相关的CVE编号是CVE-2017-0144。

与永恒之蓝漏洞相关的CVE编号是CVE-2017-0144，以下是详细信息：
Microsoft Windows SMB 输入验证错误漏洞(CVE-2017-0144)是一个高危漏洞，属于输入验证错误攻击类型，在2017-03-17被披露，在2019-10-28被创建，在2023-06-08被更新，该漏洞的CVE编号为CVE-2017-0144，CNVD编号为CNVD-2017-04243，BID编号为96704，CNNVD编号为CNNVD-201703-725、CNNVD-201703-724、CNNVD-201703-723、CNNVD-201703-722、CNNVD-201703-726、CNNVD-201703-721，SFV编号为SF_2019_08732，该漏洞的cvss评分为9.3，涉及这个漏洞时，Microsoft Windows中的SMBv1服务器存在远程代码执行漏洞，远程攻击者可借助特制的数据包利用该漏洞执行任意代码，以下版本受到影响：Microsoft Windows Vista SP2，Windows Server 2008 SP2和R2 SP1，Windows 7 SP1，Windows 8.1，Windows Server 2012 Gold和R2，Windows RT 8.1，Windows 10 Gold，1511和1607，Windows Server 2016，目前厂商已发布升级补丁以修复漏洞，补丁获取链接：
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-0143，深信服IPS引擎（10010236、10010410、10010411、10010412、10010413、12032071）针对此漏洞可以提供防护能力，过去一个月深信服AF组件检测到与该漏洞相关的攻击1607094次，该漏洞的外部标签有活跃漏洞、高可利用、有攻击代码披露。
{customTag data-type=""recommend_inputs"" param-type=9999}PHP-fpm远程代码执行漏洞（）{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-726{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-725{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-721{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-723{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-724{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNVD-2017-04243{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CVE-2017-0144{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}FTP任意代码执行{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-722{/customTag}",这个漏洞的CVSS评分是多少？,该漏洞的CVSS评分是9.3
永恒之蓝漏洞,"永恒之蓝漏洞相关的CVE编号是CVE-2017-0144。

与永恒之蓝漏洞相关的CVE编号是CVE-2017-0144，以下是详细信息：
Microsoft Windows SMB 输入验证错误漏洞(CVE-2017-0144)是一个高危漏洞，属于输入验证错误攻击类型，在2017-03-17被披露，在2019-10-28被创建，在2023-06-08被更新，该漏洞的CVE编号为CVE-2017-0144，CNVD编号为CNVD-2017-04243，BID编号为96704，CNNVD编号为CNNVD-201703-725、CNNVD-201703-724、CNNVD-201703-723、CNNVD-201703-722、CNNVD-201703-726、CNNVD-201703-721，SFV编号为SF_2019_08732，该漏洞的cvss评分为9.3，涉及这个漏洞时，Microsoft Windows中的SMBv1服务器存在远程代码执行漏洞，远程攻击者可借助特制的数据包利用该漏洞执行任意代码，以下版本受到影响：Microsoft Windows Vista SP2，Windows Server 2008 SP2和R2 SP1，Windows 7 SP1，Windows 8.1，Windows Server 2012 Gold和R2，Windows RT 8.1，Windows 10 Gold，1511和1607，Windows Server 2016，目前厂商已发布升级补丁以修复漏洞，补丁获取链接：
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2017-0143，深信服IPS引擎（10010236、10010410、10010411、10010412、10010413、12032071）针对此漏洞可以提供防护能力，过去一个月深信服AF组件检测到与该漏洞相关的攻击1607094次，该漏洞的外部标签有活跃漏洞、高可利用、有攻击代码披露。
{customTag data-type=""recommend_inputs"" param-type=9999}PHP-fpm远程代码执行漏洞（）{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-726{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-725{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-721{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-723{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-724{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNVD-2017-04243{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CVE-2017-0144{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}FTP任意代码执行{/customTag}
{customTag data-type=""recommend_inputs"" param-type=1005}CNNVD-201703-722{/customTag}",这个漏洞的外部标签有哪些？,该漏洞的外部标签有活跃漏洞、高可利用、有攻击代码披露。
XDR测试部最近一个月的安全事件,"我想要及时处置网络安全事件，给出一些建议
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个事件解读一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个事件要如何处置{/customTag}",最后一个安全事件的具体细节是什么？,最后一个安全事件的具体细节是什么？
XDR测试部最近一个月的安全事件,"我想要及时处置网络安全事件，给出一些建议
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个事件解读一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个事件要如何处置{/customTag}",最后一个事件是如何发生的？,最后一个事件是如何发生的？
XDR测试部最近一个月的安全事件,"我想要及时处置网络安全事件，给出一些建议
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个事件解读一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个事件要如何处置{/customTag}",最后一个事件需要采取什么措施解决？,最后一个事件需要采取什么措施解决？
帮我去情报平台查一下这个IP恶意情况: 117.69.201.40,"如果主机存在网络攻击告警，给出3点建议
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个告警的数据包解析一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}查看一下最后这个告警的数据包{/customTag}",最后这个IP的恶意情况有什么？,帮我去情报平台查一下117.69.201.40的恶意情况
帮我去情报平台查一下这个IP恶意情况: 117.69.201.40,"如果主机存在网络攻击告警，给出3点建议
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个告警的数据包解析一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}查看一下最后这个告警的数据包{/customTag}",最后这个告警中主机存在哪些网络攻击？,如果主机存在网络攻击告警，给出3点建议
帮我去情报平台查一下这个IP恶意情况: 117.69.201.40,"如果主机存在网络攻击告警，给出3点建议
{customTag data-type=""recommend_inputs"" param-type=9999}最后这个告警的数据包解析一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}查看一下最后这个告警的数据包{/customTag}",最后这个告警的数据包是什么样子的？,查看一下最后这个告警的数据包
XDR测试部的最近一个月的安全趋势,"安全事件总览：安全事件总共有5885件，涉及的威胁行为原始告警总数为265235条，处置完成的安全事件有1件。未处置的安全事件总共5884个，其中高危事件249个，中危事件3923个，低危事件1712个，待处置安全事件涉及Windows系统命令执行、Sql注入-XPATH报错注入、利用漏洞获取Linux用户信息、PHP类型WebShell上传、利用漏洞执行Windows系统命令、脚本WebShell上传、通用远程命令注入攻击、Jboss反序列化命令执行、Sql注入、webshell上传成功。最近一段时间内的安全事件数量呈上升趋势，且在06-03、06-12发生突增，在06-11、06-13发生突减。

当前告警总览：告警总数为265235，已处置告警数为265235。最近的告警涉及主机存在元数据查询语句SQL注入攻击、通用SQL注入、Windows系统命令执行、通用SQL注入攻击、EDR设备离线、Sql注入、SIP设备离线、CWPP设备离线、主机存在通用SQL注入攻击、AF设备离线。最近一段时间内的告警数量呈下降趋势，且在06-07、06-10、06-12、06-26发生突增，在06-09、06-13、06-27发生突减。

资产总览：一共有5个资产，其中终端资产5个。
针对以上安全事件和资产情况，建议采取以下措施：

1. 加强员工安全意识培训，提高对安全事件的认知和应对能力。
2. 加强终端资产的安全性检查和监控，及时发现和修复漏洞和安全问题。
3. 加强告警处理和响应，及时处置未处置的安全事件，避免安全事件进一步扩散。
4. 持续跟进安全事件趋势和变化，及时调整安全策略和措施。
5. 加强安全文化建设，营造安全文化氛围，提高团队整体安全意识。

总之，加强安全事件的预防和管理，提高资产的安全性和可靠性，是保障企业信息安全的重要措施。
{customTag data-type=""recommend_inputs"" param-type=9999}有哪些事件需要重点关注一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}有哪些核心资产{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}未处置的告警中有哪些是高危的{/customTag}",这些事件中有哪些是高危的？,未处置的告警中有哪些是高危的？
XDR测试部的最近一个月的安全趋势,"安全事件总览：安全事件总共有5885件，涉及的威胁行为原始告警总数为265235条，处置完成的安全事件有1件。未处置的安全事件总共5884个，其中高危事件249个，中危事件3923个，低危事件1712个，待处置安全事件涉及Windows系统命令执行、Sql注入-XPATH报错注入、利用漏洞获取Linux用户信息、PHP类型WebShell上传、利用漏洞执行Windows系统命令、脚本WebShell上传、通用远程命令注入攻击、Jboss反序列化命令执行、Sql注入、webshell上传成功。最近一段时间内的安全事件数量呈上升趋势，且在06-03、06-12发生突增，在06-11、06-13发生突减。

当前告警总览：告警总数为265235，已处置告警数为265235。最近的告警涉及主机存在元数据查询语句SQL注入攻击、通用SQL注入、Windows系统命令执行、通用SQL注入攻击、EDR设备离线、Sql注入、SIP设备离线、CWPP设备离线、主机存在通用SQL注入攻击、AF设备离线。最近一段时间内的告警数量呈下降趋势，且在06-07、06-10、06-12、06-26发生突增，在06-09、06-13、06-27发生突减。

资产总览：一共有5个资产，其中终端资产5个。
针对以上安全事件和资产情况，建议采取以下措施：

1. 加强员工安全意识培训，提高对安全事件的认知和应对能力。
2. 加强终端资产的安全性检查和监控，及时发现和修复漏洞和安全问题。
3. 加强告警处理和响应，及时处置未处置的安全事件，避免安全事件进一步扩散。
4. 持续跟进安全事件趋势和变化，及时调整安全策略和措施。
5. 加强安全文化建设，营造安全文化氛围，提高团队整体安全意识。

总之，加强安全事件的预防和管理，提高资产的安全性和可靠性，是保障企业信息安全的重要措施。
{customTag data-type=""recommend_inputs"" param-type=9999}有哪些事件需要重点关注一下{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}有哪些核心资产{/customTag}
{customTag data-type=""recommend_inputs"" param-type=9999}未处置的告警中有哪些是高危的{/customTag}",最后一个资产有哪些漏洞？,最后一个资产的漏洞情况有哪些？
